# call_id> primární klíč
# finish_time> čas ukončení hovoru
# length> délka hovoru
# time_block> časový blok po 15 minutách
# workstation_address> ID pracovní stanice (počítače)
# target_time_block_id>
# source_time_block_id
# target_service_cdn>
# source_service_cdn>
# source_service_id>
# target_service_id>
# operator> telefonní operátor (O2, T-mobile...)
# wup_question_id> z ope_wup_logs
# wup_answer_id z ope_wup_logs

"call_id","finish_time","length","time_block","workstation_address","target_time_block_id","source_time_block_id","target_service_cdn","source_service_cdn","source_service_id","target_service_id","operator","wup_question_id","wup_answer_id"
"","2013-10-02 17:06:00","30","2013-10-02 17:00:00","33807","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2014-03-27 09:18:00","57","2014-03-27 09:15:00","33807","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2013-10-02 17:06:00","275","2013-10-02 17:00:00","33807","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2013-12-19 20:41:00","19","2013-12-19 20:30:00","33204","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"00001056971403875171","2014-06-27 15:19:32","20","2014-06-27 15:15:00","33402","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2013-10-11 16:43:00","45","2013-10-11 16:30:00","33509","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2014-04-27 16:49:00","118","2014-04-27 16:45:00","33604","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2014-01-27 16:11:00","27","2014-01-27 16:00:00","33502","NULL","NULL","12300","12801","7","3","-2","NULL","NULL"
"","2014-02-16 07:28:00","30","2014-02-16 07:15:00","33803","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2013-11-20 22:14:00","100","2013-11-20 22:00:00","34605","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
"","2014-02-02 12:20:00","89","2014-02-02 12:15:00","33203","NULL","NULL","12100","12801","7","1","-2","NULL","NULL"
